,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
128,Renault,Kangoo Maxi ZE 33,31.0,M,FWD,Mini Van,5,22.4,81,100,310,38000.0,0,0,0,0,22.4,81.0,100.0,310.0
129,Renault,Megane E-Tech EV40 130hp,40.0,C,FWD,SUV,5,10*,99*,150,265*,35000.0,1,1,0,1,10.0,99.0,150.0,265.0
130,Renault,Megane E-Tech EV60 220hp,60.0,C,FWD,SUV,5,7.4,99,220,270*,40000.0,0,0,0,1,7.4,99.0,220.0,270.0
131,Renault,Twingo Electric,21.3,A,RWD,Hatchback,4,12.6,84,80,265*,24790.0,0,0,0,1,12.6,84.0,80.0,265.0
132,Renault,Zoe ZE40 R110,41.0,B,FWD,Hatchback,5,11.4,84,155,260,29990.0,0,0,0,0,11.4,84.0,155.0,260.0
133,Renault,Zoe ZE50 R110,52.0,B,FWD,Hatchback,5,11.4,84,195,265,31990.0,0,0,0,0,11.4,84.0,195.0,265.0
134,Renault,Zoe ZE50 R135,52.0,B,FWD,Hatchback,5,9.5,87,190,270,33990.0,0,0,0,0,9.5,87.0,190.0,270.0
135,SEAT,Mii Electric,32.3,A,FWD,Hatchback,4,12.3,81,130,245,24650.0,0,0,0,0,12.3,81.0,130.0,245.0
136,Skoda,Enyaq iV 50,52.0,C,RWD,SUV,5,11.3,99,180,285*,33800.0,0,0,0,1,11.3,99.0,180.0,285.0
137,Skoda,Enyaq iV 60,58.0,C,RWD,SUV,5,8.7,99,205,280*,38850.0,0,0,0,1,8.7,99.0,205.0,280.0
138,Skoda,Enyaq iV RS,77.0,C,AWD,SUV,5,6.2,112,245,310*,50000.0,0,0,0,1,6.2,112.0,245.0,310.0
139,Skoda,Enyaq iV Sportline 80x,77.0,C,AWD,SUV,5,6.9,99,250,305,47000.0,0,0,0,0,6.9,99.0,250.0,305.0
140,Skoda,Enyaq iV 80,77.0,C,RWD,SUV,5,8.6,99,260,295*,43950.0,0,0,0,1,8.6,99.0,260.0,295.0
141,Smart,EQ forfour,16.7,A,RWD,Hatchback,4,12.7,81,55,300,19120.0,0,0,0,0,12.7,81.0,55.0,300.0
142,Smart,EQ fortwo cabrio,16.7,A,RWD,Cabrio,2,11.9,81,60,275,21720.0,0,0,0,0,11.9,81.0,60.0,275.0
143,Smart,EQ fortwo coupe,16.7,A,RWD,Hatchback,2,11.6,81,60,275,18460.0,0,0,0,0,11.6,81.0,60.0,275.0
144,Sono,Sion,47.0,C,FWD,Hatchback,5,9*,87*,160,290*,25500.0,1,1,0,1,9.0,87.0,160.0,290.0
145,Tesla,Cybertruck Dual Motor,120.0,M,AWD,Pickup,6,5*,118*,285,420*,55000.0,1,1,0,1,5.0,118.0,285.0,420.0
146,Tesla,Cybertruck Single Motor,100.0,M,RWD,Pickup,6,7*,112*,240,415*,45000.0,1,1,0,1,7.0,112.0,240.0,415.0
147,Tesla,Cybertruck Tri Motor,200.0,M,AWD,Pickup,6,3*,130*,465,430*,75000.0,1,1,0,1,3.0,130.0,465.0,430.0
148,Tesla,Model 3 Long Range Dual Motor,76.0,D,AWD,Sedan,5,4.4,145,305,245,53560.0,0,0,0,0,4.4,145.0,305.0,245.0
149,Tesla,Model 3 Performance,76.0,D,AWD,Sedan,5,3.3,162,290,260,58560.0,0,0,0,0,3.3,162.0,290.0,260.0
150,Tesla,Model 3 Standard Range Plus,51.0,D,RWD,Sedan,5,5.6,140,215,235,43560.0,0,0,0,0,5.6,140.0,215.0,235.0
151,Tesla,Model 3 Standard Range Plus LFP,52.5,D,RWD,Sedan,5,5.6,140,215,240,43560.0,0,0,0,0,5.6,140.0,215.0,240.0
152,Tesla,Model S Long Range,90.0,F,AWD,Liftback,5,3.2,155,345,260*,86990.0,0,0,0,1,3.2,155.0,345.0,260.0
153,Tesla,Model S Plaid,90.0,F,AWD,Liftback,5,2.1,200,330,270*,126990.0,0,0,0,1,2.1,200.0,330.0,270.0
154,Tesla,Model X Long Range,90.0,F,AWD,SUV,7,3.9,155,295,305*,95990.0,0,0,0,1,3.9,155.0,295.0,305.0
155,Tesla,Model X Plaid,90.0,F,AWD,SUV,7,2.6,163,280,320*,116990.0,0,0,0,1,2.6,163.0,280.0,320.0
156,Tesla,Model Y Performance,76.0,D,AWD,SUV,7,3.7,150,265,285*,66965.0,0,0,0,1,3.7,150.0,265.0,285.0
157,Tesla,Roadster ,200.0,S,AWD,Cabrio,4,2.1,255*,600,330*,215000.0,0,1,0,1,2.1,255.0,600.0,330.0
158,Tesla,Model Y Long Range Dual Motor,70.0,D,AWD,SUV,7,5,135,255,270,59965.0,0,0,0,0,5.0,135.0,255.0,270.0
159,Toyota,PROACE Verso L 50 kWh,45.0,M,FWD,Mini Van,8,12.1*,81,110,405,59385.0,1,0,0,0,12.1,81.0,110.0,405.0
160,Toyota,PROACE Verso L 75 kWh,65.0,M,FWD,Mini Van,8,13.1,81,155,415*,65385.0,0,0,0,1,13.1,81.0,155.0,415.0
161,Toyota,PROACE Verso M 50 kWh,45.0,M,FWD,Mini Van,8,12.1*,81,110,405,58530.0,1,0,0,0,12.1,81.0,110.0,405.0
162,Toyota,PROACE Verso M 75 kWh,65.0,M,FWD,Mini Van,8,13.1,81,155,415*,64530.0,0,0,0,1,13.1,81.0,155.0,415.0
163,Volkswagen,e-Up!,32.3,A,FWD,Hatchback,4,11.9,81,125,255,21421.0,0,0,0,0,11.9,81.0,125.0,255.0
164,Volkswagen,ID.3 Pro,58.0,C,RWD,Hatchback,5,9.6,99,215,265,35460.0,0,0,0,0,9.6,99.0,215.0,265.0
165,Volkswagen,ID.3 Pro Performance,58.0,C,RWD,Hatchback,5,7.3,99,215,265,36960.0,0,0,0,0,7.3,99.0,215.0,265.0
166,Volkswagen,ID.3 Pro S - 4 Seats,77.0,C,RWD,Hatchback,4,7.9,99,280,275,42460.0,0,0,0,0,7.9,99.0,280.0,275.0
167,Volkswagen,ID.3 Pro S - 5 Seats,77.0,C,RWD,Hatchback,5,7.9,99,280,275,42620.0,0,0,0,0,7.9,99.0,280.0,275.0
168,Volkswagen,ID.3 Pure Performance,45.0,C,RWD,Hatchback,5,8.9,99,170,260,35575.0,0,0,0,0,8.9,99.0,170.0,260.0
169,Volkswagen,ID.4 GTX,77.0,C,AWD,SUV,5,6.2,112,245,310,50415.0,0,0,0,0,6.2,112.0,245.0,310.0
170,Volkswagen,ID.4 Pro Performance,77.0,C,RWD,SUV,5,8.5,99,255,300,44450.0,0,0,0,0,8.5,99.0,255.0,300.0
